2019-03-24 16:30:02.4657 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get | INFO | Start getting all customers. |  | 
2019-03-24 17:30:16.5907 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 17:30:16.6286 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

2019-03-24 17:30:32.5337 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 17:31:12.2647 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 17:31:19.8736 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

2019-03-24 17:31:57.6585 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 17:31:58.9224 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

2019-03-24 17:34:25.3488 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 17:34:31.5547 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

2019-03-24 17:35:19.5852 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 17:36:55.5239 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 17:38:15.8626 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

2019-03-24 17:38:27.5037 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 17:39:45.8855 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

2019-03-24 17:40:34.0853 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 17:41:01.2091 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 17:41:13.1844 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

2019-03-24 17:42:26.3613 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 17:42:37.0380 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

2019-03-24 17:42:59.7077 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController.Get(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:21) | INFO | Start getting all customers. |  | 

2019-03-24 17:43:01.3517 | HARTMEYERORUM88 | LoggingSample.Controllers.CustomersController | LoggingSample.Controllers.CustomersController+<Get>d__2.MoveNext(D:\Work\Lab Tasks\10. Logging_Audit\LoggingSample\LoggingSample\Controllers\CustomersController.cs:25) | INFO | Retrieving customers to response. |  | 

